#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	files
#open	2026-02-20-10-34-35
#fields	ts	fuid	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	source	depth	analyzers	mime_type	filename	duration	local_orig	is_orig	seen_bytes	total_bytes	missing_bytes	overflow_bytes	timedout	parent_fuid	md5	sha1	sha256	extracted	extracted_cutoff	extracted_size
#types	time	string	string	addr	port	addr	port	string	count	set[string]	string	string	interval	bool	bool	count	count	count	count	bool	string	string	string	string	string	bool	count
1771558471.063412	FzZNBx21gWD6M7zll5	C2AmTM3595gM0AUmp2	192.168.18.180	59237	104.68.37.143	443	SSL	0	SHA256,OCSP_REPLY,SHA1,MD5	application/ocsp-response	-	0.000000	F	F	471	-	0	0	F	-	118073d2542b5add84ba5765e0cd3fb4	5cf4c99248964ee7984595246221fb35bf685793	839f2de1e1697fd3df1062cbab8c17af6c858771c794ec839f7737c2079efa79	-	-	-
1771558492.880847	FeQqXbkyZKY3qnaQa	C4NnTD3iz4f4sa5RPa	192.168.6.29	51480	192.168.18.180	7000	HTTP	0	MD5,SHA1,SHA256	text/plain	-	0.000021	T	F	1945	-	0	0	F	-	824358f55036a9af6d28d3dbfd5a9880	aab04799dce02d002e241f137838e9f39c9753a6	f3ea8b5b7725fae90ae5347123f512b5a82a0126ab954df816af6f083379341b	-	-	-
1771558519.974580	FUWidm4aSqjHjSXyj	CNwxUw3eelUFSrSnSc	192.168.6.29	51486	192.168.18.180	7000	HTTP	0	MD5,SHA1,SHA256	text/plain	-	0.000003	T	F	1945	-	0	0	F	-	1d76f764a2aec8e90151a9cefc3133fd	c55d2a0471b5afb81fe878f5356d787c8471da04	d5ae9a433048cc5f3b6c4ae671c375a7aed25a56d32c2527068a9431980023c5	-	-	-
1771558544.340193	F7kunJ1P3YyZvr8L7f	CAPfk241FLwiYbThgh	192.168.18.98	60116	192.168.18.180	7000	HTTP	0	MD5,SHA1,SHA256	text/plain	-	0.000017	T	F	1946	-	0	0	F	-	ee8b1beab0c978b37d69cf53877e378a	855a9f6763c239bc126ed96a55dfd6ff58b5f344	cc2420f7d6da11128eef1b17931134485d2041421b16da194b0292f3c904546e	-	-	-
1771558586.088671	FZMCNCNBAoCVbahp2	CDUn5n3Hw1X2YMIthe	192.168.18.78	60969	192.168.18.180	7000	HTTP	0	MD5,SHA1,SHA256	text/plain	-	0.000070	T	F	1946	-	0	0	F	-	1f3aa24d0929ded90c1fde01453d767e	878a551483d0ed4e4acca837a26cb05302fba474	df8c6ba1ba5887089eaf65297490d1dc163bfc21634f61de567c9b1edc900833	-	-	-
1771558586.355169	F57Rcsn7Qt4afg6tl	CxBh4z0L9DTiVvIdd	192.168.18.78	60973	192.168.18.180	7000	HTTP	0	MD5,SHA1,SHA256	text/plain	-	0.000117	T	F	1945	-	0	0	F	-	93c4cb4a194fae9e9166b15c1c6b9802	194848e23328419160ec2d74758cdf57d484f55f	6ee4941b2afcae9bcb168832a81597c532d55e6c2980b682b9353934e7d0188f	-	-	-
1771558588.040757	F1900W1MYvF7RLiVWl	CErzEP1W0BynFbkd5h	192.168.6.29	51505	192.168.18.180	7000	HTTP	0	MD5,SHA1,SHA256	text/plain	-	0.000001	T	F	1944	-	0	0	F	-	f07fbfec0181f26b78e441a1ad54e527	6f6e4becdd548e0d29d398c94a044903b7f36844	ca295c697877d642d585f96076ba97cbf1687bd6625d76104c442e7454590431	-	-	-
1771558624.826910	F0hOO91xX5FVoR6gTk	Cb5mcY1QhE9VT3FSXc	192.168.7.165	63821	192.168.18.180	7000	HTTP	0	MD5,SHA1,SHA256	text/plain	-	0.000026	T	F	1946	-	0	0	F	-	ecd5afe22d5ea1e3072b1fe5e3b3809e	2cdbfc453a7f6bbc70d6c1159bad8b667709c050	43a5b7539f015cfabafb197dffa69f25ecfb9f3aab47295b32d11190cf117560	-	-	-
1771558652.984326	F8oCac2lYLLgqME6Je	CYIhCA3kFKqUv3WOo3	192.168.6.29	51525	192.168.18.180	7000	HTTP	0	MD5,SHA1,SHA256	text/plain	-	0.000037	T	F	1945	-	0	0	F	-	fa5f95e294c0187931e43c10cbb85896	d5b6beadc48fd755ecc6011b1328f4b780d7a132	c7af065b948c61abcd1918dc46dbf69ffabd8379ca371f19983476a6fae1241a	-	-	-
1771558660.272581	Flnlhu2YBsupBRATLa	CtbmiD2oUsL9NHR9a7	192.168.18.98	60126	192.168.18.180	7000	HTTP	0	MD5,SHA1,SHA256	text/plain	-	0.000019	T	F	1946	-	0	0	F	-	4e7d20e0512c964a04093eb66f76ad65	53610054b91a543c94baaa1b99174c88478b9ad8	ff54d113c4aa01ab360efe1012a1243e647317179b8a89f8a0c9347ed183b95f	-	-	-
1771558722.998585	FZKgt9OUwzyVEQjE1	CGvLnhif25Pu1d5Td	192.168.6.29	51541	192.168.18.180	7000	HTTP	0	MD5,SHA1,SHA256	text/plain	-	0.000015	T	F	1945	-	0	0	F	-	a85a260b9e56ea2d3e3c71ee042a7983	6a3832c36bceaad196d4cae802ed2bd30135825c	84a7b2a8ec91969a133b73099ca17ba6b2da4defe0501a87aed895f67f9d97ff	-	-	-
